term,reading,meaning,pos,source_scope,source_type,difficulty,notes
予算,よさん,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
予習,よしゅう,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
予想,よそう,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
予定,よてい,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
予防,よぼう,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
よほど,よほど,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
寄る,よる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
楽,らく,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
利益,りえき,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
理解,りかい,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
リサイクル,リサイクル,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
理想,りそう,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
立派,りっぱ,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
リハーサル,リハーサル,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
理由,りゆう,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
留学,りゅうがく,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
流行,りゅうこう,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
量,りょう,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
利用,りよう,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
了解,りょうかい,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
両替,りょうがえ,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
料金,りょうきん,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
両親,りょうしん,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
両方,りょうほう,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
旅館,りょかん,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
リラックス,リラックス,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
理論,りろん,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
ルール,ルール,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
留守,るす,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
零,れい,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
礼儀,れいぎ,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
冷蔵庫,れいぞうこ,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
レジャー,レジャー,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
レストラン,レストラン,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
連休,れんきゅう,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
連絡,れんらく,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
老人,ろうじん,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
労働,ろうどう,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
ワイシャツ,ワイシャツ,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
沸かす,わかす,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
わがまま,わがまま,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
若者,わかもの,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
分かれる,わかれる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
湧く,わく,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
分ける,わける,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
和室,わしつ,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
話題,わだい,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
割合,わりあい,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
割り勘,わりかん,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
割引,わりびき,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
割る,わる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
割れる,われる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
